,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
186,Women's Clothes,Coats & Jackets,,Seek Vistas Half-Zip Jacket Online Only,158.0,4.3,15
187,Women's Clothes,Coats & Jackets,,Push Your Pace Vest,148.0,4.4,8
188,Women's Clothes,Shirts,T-Shirts,Boxy Knit T-Shirt,98.0,4.0,3
189,Women's Clothes,Shirts,Long Sleeve Shirts,It's Rulu Run Half Zip,108.0,4.0,140
190,Women's Clothes,Hoodies & Sweatshirts,,Thick Fleece Half Zip,158.0,4.1,294
191,Women's Clothes,Shirts,Tank Tops,lululemon Align™ Ribbed Tank Top,78.0,4.5,79
192,Women's Clothes,Hoodies & Sweatshirts,,It's Rulu Run Cropped Half Zip Ribbed,118.0,4.8,33
193,Women's Clothes,Pants,Leggings,"lululemon Align™ Super-High-Rise Crop 21""",88.0,3.7,166
194,Women's Clothes,Skirts,,Pace Rival Mid-Rise Skirt Extra Long Online Only,78.0,4.2,266
195,Women's Clothes,Pants,Trousers,City Sleek 5 Pocket High-Rise Wide-Leg Pant Light Utilitech,138.0,3.9,296
196,Women's Clothes,Shirts,Tank Tops,Modal-Silk Yoga Tank Top,58.0,4.5,205
197,Women's Clothes,Coats & Jackets,,Another Mile Jacket Online Only,228.0,4.3,556
198,Women's Clothes,Pants,Leggings,"Swift Speed High-Rise Crop 21""",128.0,,0
199,Women's Clothes,Underwear,,InvisiWear Mid-Rise Bikini Underwear 3 Pack,48.0,3.0,113
200,Women's Clothes,Pants,Capris,Ready to Rulu High-Rise Cropped Jogger,108.0,,0
201,Women's Clothes,Pants,,"lululemon Align™ High-Rise Wide-Leg Pant 31""",138.0,4.3,221
202,Women's Clothes,Shirts,Long Sleeve Shirts,Rulu Running Long-Sleeve Mock Neck Shirt,108.0,4.0,16
203,Women's Clothes,Pants,Leggings,"Wunder Train Contour Fit High-Rise Crop 23""",88.0,4.0,122
204,Women's Clothes,Swimsuits,,Waterside Mid-Rise Swim Bottom Medium Bum Coverage Online Only,74.0,3.6,38
205,Women's Clothes,Coats & Jackets,,Pack It Down Long Jacket Online Only,248.0,3.7,530
206,Women's Clothes,Shirts,Bodysuits,Heavyweight Cotton T-Shirt Bodysuit Online Only,108.0,,0
207,Women's Clothes,Underwear,,UnderEase High-Rise Bikini Underwear,18.0,4.0,9
208,Women's Clothes,Pants,,Pull-On Zip-Front High-Rise Pant Full Length,158.0,,0
209,Women's Clothes,Shirts,Long Sleeve Shirts,It's Rulu Run Ribbed Long-Sleeve Shirt,108.0,4.7,41
210,Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Tight 25"" Logo",118.0,4.8,5
211,Women's Clothes,Sports Bras,,"Like a Cloud Ribbed Longline Bra Light Support, D/DD Cup Online Only",74.0,4.7,13
212,Women's Clothes,Shirts,Tank Tops,Base Pace Ribbed Tank Top,58.0,3.9,161
213,Women's Clothes,Coats & Jackets,,Another Mile Vest Online Only,178.0,4.5,443
214,Women's Clothes,Hoodies & Sweatshirts,,Ribbed Luxtreme Wide-Sleeve Pullover,128.0,,0
215,Shoes,,,Chargefeel Mid Women's Workout Shoe,198.0,4.5,390
